sample_ID_DNA	FILTTIME	FILTVOL	COMNT_SAMP
K12V16-19 C3 A		500	
K12V16-19 GA1 A		500	
K12V16-19 B3 A		500	
K13V18-19 B7 A		500	
K13V18-19 B7 B		500	
K13V18-19 B7 C		500	
K13V18-19 B7 D		500	
K13V18-19 B7 E		500	
K14V20-19 B3 A		500	
K14V20-19 A13 A		500	
K14V20-19 RA1 A		300	
K14V20-19 RA2 A		400	
K14V20-19 GA1 A		500	
K14V20-19 C3 A		500	Aphanizomenon on the filter
K15V22-19 B7 A		500	
K16V24-19 C24 A		500	
K16V24-19 C3 A		500	
K16V24-19 GA1 A		500	
K16V24-19 B3 A		500	
K16V24-19 A13 A		500	
K16V24-19 RA2 A		250	
K17V26-19 B7 A		500	
K17V26-19 B7 B		500	
K17V26-19 B7 C		500	
K17V26-19 B7 D		500	
K17V26-19 B7 E		500	
K18V28-19 B3 A		500	
K18V28-19 GA1 A		500	
K18V28-19 C3 A		500	
K18V28-19 C3 B		500	
K18V28-19 C3 C		500	
K18V28-19 A13 A		500	
K18V28-19 A13 B		500	
K18V28-19 A13 C		500	
K18V28-19 RA2 A		500	
K19V32-19 RA1 A		350	very long filtration
K19V32-19 RA2 A		500	
K19V32-19 A13 A		500	
K19V32-19 B7 A		500	Aphanizomenon on the filter
K19V32-19 C3 A		500	Aphanizomenon on the filter
K19V32-19 GA1 A		500	Aphanizomenon on the filter
K19V32-19 C24 A		500	
K20V34-19 B3 A		500	Aphanizomenon on the filter
K20V34-19 B3 B		500	Aphanizomenon on the filter
K20V34-19 B3 C		500	Aphanizomenon on the filter
K20V34-19 B3 D		500	Aphanizomenon on the filter
K20V34-19 B3 E		500	Aphanizomenon on the filter
K21V36-19 B7 A		500	Aphanizomenon on the filter
K22V38-19 C3 A		500	
K22V38-19 GA1 A		500	
K22V38-19 B3 A		500	
K22V38-19 A13 A		500	
K22V38-19 RA1 A		275	
K22V38-19 RA2 A		350	
K23V41-19 B7 A		500	Aphanizomenon on the filter
K24V43-19 B3 A		500	Aphanizomenon on the filter
K25V46-19 B7 A		500	
K25V46-19 GA1 A		500	
K25V46-19 C3 A		500	
K25V46-19 A13 A		500	
K25V46-19 RA1 A		310	
K25V46-19 RA2 A		500	
K26V50-19 A13 A		500	Aphanizomenon on the filter
K26V50-19 C3 A		500	Aphanizomenon on the filter
K26V50-19 C24 A		500	Aphanizomenon on the filter
K26V50-19 GA1 A		500	Aphanizomenon on the filter
K26V50-19 B3 A		500	sediment resuspension
K27V51-19 RA2 A		300	
K01V03-20 A13 A		500	
K01V03-20 RA2 A		300	the sample water was partially frozen between sampling and processing
K01V03-20 B3 A		500	
K01V03-20 C3 A		500	
K01V03-20 C24 A		500	
K01V03-20 GA1 A		500	
K02V08-20 A13 A		500	
K02V08-20 RA2 A		300	
K02V08-20 RA1 A		230	
K02V08-20 C3 A		500	
K02V08-20 GA1 A		500	
K02V08-20 B7 A		500	
190506 100ml		100	
190506 100ml		100	
190506 100ml		100	
190506 100ml		100	
190506 100ml		100	
190506 10ml		10	
190506 10ml		10	
190506 10ml		10	
190506 10ml		10	
190506 10ml		10	
190506 200ml		200	
190506 200ml		200	
190506 200ml		200	
190506 200ml		200	
190506 200ml		200	
190506 500ml		500	
190506 500ml		500	
190506 500ml		500	
190506 500ml		500	
190806 100ml		100	
190806 100ml		100	
190806 100ml		100	
190806 100ml		100	
190806 100ml		100	
190806 10ml		10	
190806 10ml		10	
190806 10ml		10	
190806 10ml		10	
190806 10ml		10	
190806 200ml		200	
190806 200ml		200	
190806 200ml		200	
190806 200ml		200	
190806 500ml		500	
190806 500ml		500	
190806 500ml		500	
190806 500ml		500	
191007 100ml		100	
191007 100ml		100	
191007 100ml		100	
191007 100ml		100	
191007 10ml		10	
191007 10ml		10	
191007 10ml		10	
191007 10ml		10	
191007 10ml		10	
191007 200ml		200	
191007 200ml		200	
191007 200ml		200	
191007 200ml		200	
191007 500ml		500	
191007 500ml		500	
191007 500ml		500	
191007 500ml		500	
191007 500ml		500	
K16V24-19 A13 B		500	
K16V24-19 C3 B		500	
K16V24-19 A13 C		500	
K16V24-19 C3 C		500	
K26V50-19 B3 B		500	
